序號,答案
20240224141001,1532.9
20240224142001,2370.73
20240224143001,637.4
20240224144001,1687.81
20240224145001,450.13
20240224150001,1340.37
20240224151001,1929.14
20240224152001,319.81
20240224153001,2159.05
20240224154001,66.89
20240224155001,1602.69
20240224160001,1753.2
20240224161001,122.64
20240224162001,2536.12
20240224163001,-441.5
20240224164001,1988.27
20240224165001,1412.33
20240226090001,600.55
20240226091001,780.05
20240226092001,1182.53
20240226093001,1400.4
20240226094001,1688.13
20240226095001,1402.07
20240226100001,-469.52
20240226101001,-360.49
20240226102001,-245.81
20240226103001,-17.73
20240226104001,63.71
20240226105001,71.09
20240226110001,68.13
20240226111001,24.41
20240226112001,175.96
20240226113001,193.48
20240226114001,336.66
20240226115001,415.99
20240226120001,478.04
20240226121001,752.04
20240226122001,974.88
20240226123001,1205.27
20240226124001,1026.53
20240226125001,1386.37
20240226130001,1537.32
20240226131001,1715.66
20240226132001,1705.0
20240226133001,1749.13
20240226134001,779.63
20240226135001,996.62
20240226140001,766.5
20240226141001,1509.71
20240226142001,2245.18
20240226143001,567.57
20240226144001,1687.81
20240226145001,450.13
20240226150001,1340.37
20240226151001,1929.14
20240226152001,319.81
20240226153001,2159.05
20240226154001,66.89
20240226155001,1602.69
20240226160001,1753.2
20240226161001,122.64
20240226162001,2536.12
20240226163001,-441.5
20240226164001,1988.27
20240226165001,1412.33
20240327090001,953.0
20240327091001,1134.94
20240327092001,1815.21
20240327093001,1968.93
20240327094001,1940.71
20240327095001,1656.76
20240327100001,1618.36
20240327101001,1484.85
20240327102001,1580.81
20240327103001,-482.78
20240327104001,-667.78
20240327105001,-325.5
20240327110001,30.04
20240327111001,133.74
20240327112001,-160.17
20240327113001,-308.42
20240327114001,-232.74
20240327115001,-255.55
20240327120001,-161.49
20240327121001,-162.11
20240327122001,-55.34
20240327123001,-28.82
20240327124001,128.88
20240327125001,134.85
20240327130001,124.45
20240327131001,69.77
20240327132001,133.53
20240327133001,139.47
20240327134001,179.17
20240327135001,-312.37
20240327140001,-286.18
20240327141001,-214.27
20240327142001,-76.24
20240327143001,-13.35
20240327144001,-50.07
20240327145001,14.2
20240327150001,316.83
20240327151001,339.19
20240327152001,521.73
20240327153001,448.96
20240327154001,849.79
20240327155001,1009.14
20240327160001,1602.63
20240327161001,1858.25
20240327162001,1808.97
20240327163001,1585.64
20240327164001,1496.93
20240327165001,1226.99
20240329090001,731.39
20240329091001,687.21
20240329092001,889.51
20240329093001,1080.5
20240329094001,860.61
20240329095001,641.44
20240329100001,979.7
20240329101001,252.72
20240329102001,340.24
20240329103001,671.02
20240329104001,1521.53
20240329105001,1713.77
20240329110001,2030.65
20240329111001,1987.34
20240329112001,1934.39
20240329113001,555.38
20240329114001,881.5
20240329115001,745.42
20240329120001,1534.29
20240329121001,2438.56
20240329122001,691.65
20240329123001,1687.81
20240329124001,450.13
20240329125001,1340.37
20240329130001,1929.14
20240329131001,319.81
20240329132001,2159.05
20240329133001,66.89
20240329134001,1602.69
20240329135001,1753.2
20240329140001,122.64
20240329141001,2536.12
20240329142001,-441.5
20240329143001,1988.27
20240329144001,1412.33
20240329145001,20.09
20240329150001,2859.19
20240329151001,-936.7
20240329152001,2189.07
20240329153001,939.76
20240329154001,80.55
20240329155001,3339.94
20240329160001,-1311.53
20240329161001,2302.75
20240329162001,464.03
20240329163001,296.74
20240329164001,3934.5
20240329165001,-1437.02
20240428090001,402.42
20240428091001,483.07
20240428092001,910.54
20240428093001,794.63
20240428094001,907.54
20240428095001,1381.97
20240428100001,1616.48
20240428101001,2306.01
20240428102001,1741.54
20240428103001,2199.33
20240428104001,2533.22
20240428105001,3305.75
20240428110001,1387.47
20240428111001,1293.48
20240428112001,1068.88
20240428113001,1512.07
20240428114001,2362.54
20240428115001,997.55
20240428120001,1364.24
20240428121001,881.81
20240428122001,1448.13
20240428123001,2077.15
20240428124001,583.04
20240428125001,1687.81
20240428130001,450.13
20240428131001,1340.37
20240428132001,1929.14
20240428133001,319.81
20240428134001,2159.05
20240428135001,66.89
20240428140001,1602.69
20240428141001,1753.2
20240428142001,122.64
20240428143001,2536.12
20240428144001,-441.5
20240428145001,1988.27
20240428150001,1412.33
20240428151001,20.09
20240428152001,2859.19
20240428153001,-936.7
20240428154001,2189.07
20240428155001,939.76
20240428160001,80.55
20240428161001,3339.94
20240428162001,-1311.53
20240428163001,2302.75
20240428164001,464.03
20240428165001,296.74
20240430090001,1461.72
20240430091001,1820.37
20240430092001,2220.18
20240430093001,2671.82
20240430094001,3207.25
20240430095001,3997.59
20240430100001,4701.87
20240430101001,5195.41
20240430102001,5622.65
20240430103001,5682.38
20240430104001,5357.63
20240430105001,5014.05
20240430110001,5134.28
20240430111001,234.37
20240430112001,175.94
20240430113001,801.73
20240430114001,2217.83
20240430115001,2410.77
20240430120001,961.61
20240430121001,1569.07
20240430122001,802.99
20240430123001,1786.51
20240430124001,2480.65
20240430125001,697.99
20240430130001,1687.81
20240430131001,450.13
20240430132001,1340.37
20240430133001,1929.14
20240430134001,319.81
20240430135001,2159.05
20240430140001,66.89
20240430141001,1602.69
20240430142001,1753.2
20240430143001,122.64
20240430144001,2536.12
20240430145001,-441.5
20240430150001,1988.27
20240430151001,1412.33
20240430152001,20.09
20240430153001,2859.19
20240430154001,-936.7
20240430155001,2189.07
20240430160001,939.76
20240430161001,80.55
20240430162001,3339.94
20240430163001,-1311.53
20240430164001,2302.75
20240430165001,464.03
20240515090001,1137.79
20240515091001,1765.08
20240515092001,2102.43
20240515093001,1771.11
20240515094001,3099.14
20240515095001,4336.48
20240515100001,5523.15
20240515101001,5193.37
20240515102001,4936.11
20240515103001,6351.51
20240515104001,4845.06
20240515105001,5268.21
20240515110001,5694.2
20240515111001,5565.45
20240515112001,-223.67
20240515113001,-301.92
20240515114001,-176.16
20240515115001,-160.95
20240515120001,129.67
20240515121001,308.67
20240515122001,733.61
20240515123001,856.37
20240515124001,1166.86
20240515125001,1867.62
20240515130001,3335.72
20240515131001,2390.02
20240515132001,4096.51
20240515133001,4010.85
20240515134001,3049.11
20240515135001,5501.75
20240515140001,4944.96
20240515141001,6856.53
20240515142001,6451.17
20240515143001,6208.83
20240515144001,1586.25
20240515145001,-855.13
20240515150001,5923.89
20240515151001,10600.41
20240515152001,-349.69
20240515153001,-583.58
20240515154001,-480.56
20240515155001,-22.74
20240515160001,-90.42
20240515161001,-0.24
20240515162001,185.4
20240515163001,151.2
20240515164001,200.43
20240515165001,217.07
20240520090001,920.99
20240520091001,1546.34
20240520092001,1673.45
20240520093001,1397.24
20240520094001,1565.07
20240520095001,1326.22
20240520100001,1619.87
20240520101001,2108.56
20240520102001,2530.42
20240520103001,2864.41
20240520104001,3913.53
20240520105001,2848.35
20240520110001,3797.58
20240520111001,3660.46
20240520112001,-987.55
20240520113001,-403.69
20240520114001,-198.79
20240520115001,-372.98
20240520120001,-21.91
20240520121001,28.54
20240520122001,86.38
20240520123001,356.97
20240520124001,536.72
20240520125001,761.76
20240520130001,950.82
20240520131001,1263.93
20240520132001,2000.97
20240520133001,2156.48
20240520134001,1720.92
20240520135001,1874.03
20240520140001,1679.29
20240520141001,1986.49
20240520142001,2606.42
20240520143001,2990.2
20240520144001,2552.59
20240520145001,2388.51
20240520150001,3895.82
20240520151001,5186.18
20240520152001,1890.51
20240520153001,-579.65
20240520154001,-548.94
20240520155001,-143.07
20240520160001,-97.78
20240520161001,-80.54
20240520162001,-75.09
20240520163001,87.04
20240520164001,68.67
20240520165001,177.48
20240613090001,688.62
20240613091001,566.35
20240613092001,329.4
20240613093001,408.71
20240613094001,336.32
20240613095001,286.2
20240613100001,319.6
20240613101001,443.75
20240613102001,574.57
20240613103001,695.0
20240613104001,898.07
20240613105001,1159.45
20240613110001,1298.48
20240613111001,1238.77
20240613112001,-692.71
20240613113001,-383.52
20240613114001,-345.22
20240613115001,-107.1
20240613120001,-232.1
20240613121001,-246.98
20240613122001,-174.57
20240613123001,-110.11
20240613124001,-21.68
20240613125001,8.56
20240613130001,45.87
20240613131001,148.48
20240613132001,0.83
20240613133001,-65.77
20240613134001,-20.24
20240613135001,-51.72
20240613140001,-71.18
20240613141001,-63.72
20240613142001,-52.45
20240613143001,2.56
20240613144001,75.61
20240613145001,119.11
20240613150001,260.08
20240613151001,397.17
20240613152001,281.16
20240613153001,1912.93
20240613154001,1692.76
20240613155001,2400.55
20240613160001,2330.17
20240613161001,2329.07
20240613162001,617.31
20240613163001,829.66
20240613164001,682.41
20240613165001,1481.22
20240615090001,1694.07
20240615091001,2336.05
20240615092001,3379.97
20240615093001,3560.1
20240615094001,3649.84
20240615095001,4244.94
20240615100001,4647.81
20240615101001,4982.96
20240615102001,5292.05
20240615103001,4628.92
20240615104001,5509.7
20240615105001,6381.53
20240615110001,3991.08
20240615111001,3851.3
20240615112001,-717.9
20240615113001,-452.89
20240615114001,-208.61
20240615115001,-120.11
20240615120001,7.51
20240615121001,38.11
20240615122001,264.99
20240615123001,381.5
20240615124001,344.86
20240615125001,544.06
20240615130001,318.24
20240615131001,521.64
20240615132001,688.3
20240615133001,823.23
20240615134001,951.79
20240615135001,843.06
20240615140001,853.13
20240615141001,762.47
20240615142001,997.81
20240615143001,684.17
20240615144001,-405.74
20240615145001,1034.69
20240615150001,-384.99
20240615151001,202.11
20240615152001,-223.44
20240615153001,-385.54
20240615154001,-393.9
20240615155001,-274.59
20240615160001,-54.15
20240615161001,319.78
20240615162001,268.66
20240615163001,514.39
20240615164001,579.88
20240615165001,750.09
20240703090001,1997.01
20240703091001,2421.25
20240703092001,2709.88
20240703093001,3148.87
20240703094001,3474.4
20240703095001,3993.22
20240703100001,4497.81
20240703101001,4803.7
20240703102001,4914.9
20240703103001,5169.48
20240703104001,4655.84
20240703105001,2922.46
20240703110001,2276.4
20240703111001,3372.64
20240703112001,-301.17
20240703113001,346.47
20240703114001,752.18
20240703115001,1992.3
20240703120001,2157.18
20240703121001,1225.12
20240703122001,1379.46
20240703123001,1017.79
20240703124001,1840.04
20240703125001,2492.5
20240703130001,684.22
20240703131001,1687.81
20240703132001,450.13
20240703133001,1340.37
20240703134001,1929.14
20240703135001,319.81
20240703140001,2159.05
20240703141001,66.89
20240703142001,1602.69
20240703143001,1753.2
20240703144001,122.64
20240703145001,2536.12
20240703150001,-441.5
20240703151001,1988.27
20240703152001,1412.33
20240703153001,20.09
20240703154001,2859.19
20240703155001,-936.7
20240703160001,2189.07
20240703161001,939.76
20240703162001,80.55
20240703163001,3339.94
20240703164001,-1311.53
20240703165001,2302.75
20240707090001,2081.94
20240707091001,2541.29
20240707092001,2979.0
20240707093001,3397.76
20240707094001,3798.12
20240707095001,4147.06
20240707100001,4476.63
20240707101001,4450.67
20240707102001,4521.98
20240707103001,4721.19
20240707104001,4678.91
20240707105001,4720.82
20240707110001,3713.34
20240707111001,1712.84
20240707112001,-719.25
20240707113001,-228.17
20240707114001,-135.65
20240707115001,-345.27
20240707120001,-114.54
20240707121001,-63.8
20240707122001,70.08
20240707123001,62.66
20240707124001,215.25
20240707125001,500.2
20240707130001,687.66
20240707131001,955.59
20240707132001,1298.09
20240707133001,1630.17
20240707134001,1948.16
20240707135001,2206.43
20240707140001,2425.53
20240707141001,2650.86
20240707142001,2888.22
20240707143001,3056.85
20240707144001,3052.33
20240707145001,3023.1
20240707150001,2884.55
20240707151001,2719.92
20240707152001,2277.95
20240707153001,268.91
20240707154001,-51.08
20240707155001,905.81
20240707160001,1905.37
20240707161001,2296.43
20240707162001,894.89
20240707163001,1296.79
20240707164001,789.41
20240707165001,1772.18
20240125090002,150.67
20240125091002,152.93
20240125092002,250.04
20240125093002,529.45
20240125094002,657.75
20240125095002,1498.65
20240125100002,1599.74
20240125101002,1869.68
20240125102002,1772.92
20240125103002,1797.72
20240125104002,790.49
20240125105002,985.53
20240125110002,788.54
20240125111002,1511.24
20240125112002,2331.25
20240125113002,585.79
20240125114002,1687.81
20240125115002,450.13
20240125120002,1340.37
20240125121002,1929.14
20240125122002,319.81
20240125123002,2159.05
20240125124002,66.89
20240125125002,1602.69
20240125130002,1753.2
20240125131002,122.64
20240125132002,2536.12
20240125133002,-441.5
20240125134002,1988.27
20240125135002,1412.33
20240125140002,20.09
20240125141002,2859.19
20240125142002,-936.7
20240125143002,2189.07
20240125144002,939.76
20240125145002,80.55
20240125150002,3339.94
20240125151002,-1311.53
20240125152002,2302.75
20240125153002,464.03
20240125154002,296.74
20240125155002,3934.5
20240125160002,-1437.02
20240125161002,2498.5
20240125162002,-27.08
20240125163002,677.93
20240125164002,4181.59
20240125165002,-1188.42
20240128090002,74.66
20240128091002,165.57
20240128092002,228.52
20240128093002,325.34
20240128094002,244.79
20240128095002,-320.67
20240128100002,-203.44
20240128101002,-247.15
20240128102002,-183.14
20240128103002,-235.03
20240128104002,-226.35
20240128105002,-256.5
20240128110002,-215.9
20240128111002,-218.63
20240128112002,-145.0
20240128113002,-118.3
20240128114002,-75.37
20240128115002,-21.72
20240128120002,-12.33
20240128121002,62.56
20240128122002,3.29
20240128123002,1714.71
20240128124002,1674.41
20240128125002,2260.96
20240128130002,2167.57
20240128131002,2391.35
20240128132002,1015.54
20240128133002,1170.03
20240128134002,833.15
20240128135002,1456.84
20240128140002,2187.91
20240128141002,769.94
20240128142002,1687.81
20240128143002,450.13
20240128144002,1340.37
20240128145002,1929.14
20240128150002,319.81
20240128151002,2159.05
20240128152002,66.89
20240128153002,1602.69
20240128154002,1753.2
20240128155002,122.64
20240128160002,2536.12
20240128161002,-441.5
20240128162002,1988.27
20240128163002,1412.33
20240128164002,20.09
20240128165002,2859.19
20240213090002,4651.47
20240213091002,6140.93
20240213092002,7903.14
20240213093002,7057.53
20240213094002,3399.91
20240213095002,2398.85
20240213100002,-20.79
20240213101002,5.48
20240213102002,220.47
20240213103002,344.17
20240213104002,477.36
20240213105002,1311.86
20240213110002,2434.23
20240213111002,2835.83
20240213112002,3064.07
20240213113002,3960.15
20240213114002,4046.27
20240213115002,4025.33
20240213120002,5674.57
20240213121002,5783.69
20240213122002,4656.98
20240213123002,3748.78
20240213124002,2474.2
20240213125002,68.07
20240213130002,434.42
20240213131002,1319.98
20240213132002,2132.44
20240213133002,2063.88
20240213134002,1138.48
20240213135002,1922.97
20240213140002,1044.91
20240213141002,1806.23
20240213142002,2334.48
20240213143002,671.34
20240213144002,1687.81
20240213145002,450.13
20240213150002,1340.37
20240213151002,1929.14
20240213152002,319.81
20240213153002,2159.05
20240213154002,66.89
20240213155002,1602.69
20240213160002,1753.2
20240213161002,122.64
20240213162002,2536.12
20240213163002,-441.5
20240213164002,1988.27
20240213165002,1412.33
20240226090002,600.55
20240226091002,780.05
20240226092002,1182.53
20240226093002,1400.4
20240226094002,1688.13
20240226095002,1402.07
20240226100002,-469.52
20240226101002,-360.49
20240226102002,-245.81
20240226103002,-17.73
20240226104002,63.71
20240226105002,71.09
20240226110002,68.13
20240226111002,24.41
20240226112002,175.96
20240226113002,193.48
20240226114002,336.66
20240226115002,415.99
20240226120002,478.04
20240226121002,752.04
20240226122002,974.88
20240226123002,1205.27
20240226124002,1026.53
20240226125002,1386.37
20240226130002,1537.32
20240226131002,1715.66
20240226132002,1705.0
20240226133002,1749.13
20240226134002,779.63
20240226135002,996.62
20240226140002,766.5
20240226141002,1509.71
20240226142002,2245.18
20240226143002,567.57
20240226144002,1687.81
20240226145002,450.13
20240226150002,1340.37
20240226151002,1929.14
20240226152002,319.81
20240226153002,2159.05
20240226154002,66.89
20240226155002,1602.69
20240226160002,1753.2
20240226161002,122.64
20240226162002,2536.12
20240226163002,-441.5
20240226164002,1988.27
20240226165002,1412.33
20240319090002,122.15
20240319091002,42.13
20240319092002,144.76
20240319093002,346.39
20240319094002,352.39
20240319095002,403.08
20240319100002,218.15
20240319101002,393.54
20240319102002,-293.25
20240319103002,-136.68
20240319104002,-213.77
20240319105002,-143.89
20240319110002,-165.19
20240319111002,-161.87
20240319112002,-288.75
20240319113002,-224.95
20240319114002,-220.46
20240319115002,-185.36
20240319120002,-159.24
20240319121002,-139.52
20240319122002,-240.45
20240319123002,-271.77
20240319124002,-244.28
20240319125002,-203.61
20240319130002,-181.96
20240319131002,-182.69
20240319132002,-201.99
20240319133002,-190.38
20240319134002,-151.59
20240319135002,-101.99
20240319140002,-64.03
20240319141002,-35.36
20240319142002,77.66
20240319143002,35.2
20240319144002,186.18
20240319145002,224.48
20240319150002,88.56
20240319151002,30.12
20240319152002,13.46
20240319153002,1644.67
20240319154002,1803.32
20240319155002,2214.81
20240319160002,2319.1
20240319161002,2496.12
20240319162002,998.31
20240319163002,1155.08
20240319164002,815.8
20240319165002,1517.64
20240427090002,29.24
20240427091002,-30.95
20240427092002,184.53
20240427093002,152.38
20240427094002,598.9
20240427095002,474.28
20240427100002,1194.93
20240427101002,1543.48
20240427102002,1797.6
20240427103002,2080.78
20240427104002,2038.63
20240427105002,2430.49
20240427110002,1498.83
20240427111002,1684.32
20240427112002,1589.28
20240427113002,1788.25
20240427114002,2188.26
20240427115002,830.03
20240427120002,1356.83
20240427121002,821.5
20240427122002,1464.38
20240427123002,2107.0
20240427124002,558.55
20240427125002,1687.81
20240427130002,450.13
20240427131002,1340.37
20240427132002,1929.14
20240427133002,319.81
20240427134002,2159.05
20240427135002,66.89
20240427140002,1602.69
20240427141002,1753.2
20240427142002,122.64
20240427143002,2536.12
20240427144002,-441.5
20240427145002,1988.27
20240427150002,1412.33
20240427151002,20.09
20240427152002,2859.19
20240427153002,-936.7
20240427154002,2189.07
20240427155002,939.76
20240427160002,80.55
20240427161002,3339.94
20240427162002,-1311.53
20240427163002,2302.75
20240427164002,464.03
20240427165002,296.74
20240508090002,178.82
20240508091002,437.9
20240508092002,1364.93
20240508093002,2101.02
20240508094002,978.49
20240508095002,1875.8
20240508100002,3546.07
20240508101002,2905.45
20240508102002,3114.31
20240508103002,2691.42
20240508104002,3338.84
20240508105002,3116.78
20240508110002,2801.83
20240508111002,-507.84
20240508112002,-499.45
20240508113002,-318.75
20240508114002,-178.49
20240508115002,146.65
20240508120002,4.44
20240508121002,31.04
20240508122002,-84.16
20240508123002,150.44
20240508124002,74.69
20240508125002,23.96
20240508130002,124.36
20240508131002,373.99
20240508132002,1240.18
20240508133002,1950.51
20240508134002,962.92
20240508135002,1870.27
20240508140002,3288.31
20240508141002,2679.02
20240508142002,2929.31
20240508143002,2593.37
20240508144002,3410.07
20240508145002,3139.11
20240508150002,2905.96
20240508151002,-617.99
20240508152002,-374.67
20240508153002,-322.12
20240508154002,-181.59
20240508155002,-88.44
20240508160002,-28.18
20240508161002,-11.59
20240508162002,-68.2
20240508163002,-22.27
20240508164002,-64.0
20240508165002,-98.3
20240705090002,1026.69
20240705091002,1329.98
20240705092002,1631.74
20240705093002,1944.87
20240705094002,2210.32
20240705095002,2467.24
20240705100002,2685.0
20240705101002,2898.18
20240705102002,3009.67
20240705103002,3070.09
20240705104002,3119.74
20240705105002,3213.6
20240705110002,2982.6
20240705111002,2788.64
20240705112002,-570.27
20240705113002,-244.85
20240705114002,-148.62
20240705115002,-207.66
20240705120002,-290.66
20240705121002,-221.83
20240705122002,-133.43
20240705123002,-153.32
20240705124002,-120.6
20240705125002,-97.91
20240705130002,-101.78
20240705131002,-101.72
20240705132002,-72.49
20240705133002,-47.04
20240705134002,-26.0
20240705135002,-16.33
20240705140002,-18.96
20240705141002,16.92
20240705142002,4.72
20240705143002,1.07
20240705144002,-14.89
20240705145002,1.04
20240705150002,-23.14
20240705151002,-3.64
20240705152002,-21.66
20240705153002,-406.76
20240705154002,-355.74
20240705155002,-412.25
20240705160002,-291.98
20240705161002,-328.11
20240705162002,-315.03
20240705163002,-299.74
20240705164002,-294.16
20240705165002,-280.7
20240707090002,2081.94
20240707091002,2541.29
20240707092002,2979.0
20240707093002,3397.76
20240707094002,3798.12
20240707095002,4147.06
20240707100002,4476.63
20240707101002,4450.67
20240707102002,4521.98
20240707103002,4721.19
20240707104002,4678.91
20240707105002,4720.82
20240707110002,3713.34
20240707111002,1712.84
20240707112002,-719.25
20240707113002,-228.17
20240707114002,-135.65
20240707115002,-345.27
20240707120002,-114.54
20240707121002,-63.8
20240707122002,70.08
20240707123002,62.66
20240707124002,215.25
20240707125002,500.2
20240707130002,687.66
20240707131002,955.59
20240707132002,1298.09
20240707133002,1630.17
20240707134002,1948.16
20240707135002,2206.43
20240707140002,2425.53
20240707141002,2650.86
20240707142002,2888.22
20240707143002,3056.85
20240707144002,3052.33
20240707145002,3023.1
20240707150002,2884.55
20240707151002,2719.92
20240707152002,2277.95
20240707153002,268.91
20240707154002,-51.08
20240707155002,905.81
20240707160002,1905.37
20240707161002,2296.43
20240707162002,894.89
20240707163002,1296.79
20240707164002,789.41
20240707165002,1772.18
20240317090003,5020.2
20240317091003,5341.41
20240317092003,3460.37
20240317093003,2414.2
20240317094003,2440.53
20240317095003,7045.19
20240317100003,10629.92
20240317101003,7385.94
20240317102003,-2171.48
20240317103003,-818.09
20240317104003,-342.83
20240317105003,-604.37
20240317110003,181.87
20240317111003,-39.89
20240317112003,-52.21
20240317113003,-42.33
20240317114003,-94.73
20240317115003,17.52
20240317120003,62.47
20240317121003,15.98
20240317122003,10.46
20240317123003,55.24
20240317124003,118.66
20240317125003,75.65
20240317130003,3.21
20240317131003,88.47
20240317132003,104.76
20240317133003,118.21
20240317134003,121.45
20240317135003,-196.94
20240317140003,-254.92
20240317141003,-207.2
20240317142003,-99.66
20240317143003,-41.77
20240317144003,39.5
20240317145003,93.9
20240317150003,155.6
20240317151003,181.26
20240317152003,325.46
20240317153003,519.16
20240317154003,651.06
20240317155003,714.69
20240317160003,1015.31
20240317161003,1011.92
20240317162003,1194.18
20240317163003,1622.55
20240317164003,1896.83
20240317165003,2644.53
20240414090003,2450.25
20240414091003,2952.15
20240414092003,3598.61
20240414093003,4275.13
20240414094003,4934.95
20240414095003,5576.4
20240414100003,6033.79
20240414101003,6394.2
20240414102003,6775.46
20240414103003,6608.48
20240414104003,6038.28
20240414105003,3254.69
20240414110003,-379.05
20240414111003,-455.15
20240414112003,-106.86
20240414113003,-258.49
20240414114003,-35.89
20240414115003,52.21
20240414120003,198.3
20240414121003,354.22
20240414122003,525.26
20240414123003,688.28
20240414124003,814.05
20240414125003,882.71
20240414130003,1013.81
20240414131003,1145.8
20240414132003,1283.59
20240414133003,1399.47
20240414134003,1499.9
20240414135003,1504.89
20240414140003,1709.11
20240414141003,1714.51
20240414142003,1607.12
20240414143003,1503.93
20240414144003,-592.82
20240414145003,-451.47
20240414150003,-274.8
20240414151003,-121.5
20240414152003,90.58
20240414153003,233.06
20240414154003,536.27
20240414155003,998.74
20240414160003,1596.63
20240414161003,2352.36
20240414162003,3205.78
20240414163003,3843.4
20240414164003,4436.51
20240414165003,5072.29
20240524090003,703.38
20240524091003,689.95
20240524092003,694.92
20240524093003,635.41
20240524094003,1051.83
20240524095003,1659.61
20240524100003,2247.77
20240524101003,1784.16
20240524102003,1816.81
20240524103003,2286.34
20240524104003,2093.71
20240524105003,1746.3
20240524110003,1449.39
20240524111003,1058.8
20240524112003,-433.25
20240524113003,-496.21
20240524114003,-294.98
20240524115003,-39.02
20240524120003,14.2
20240524121003,46.2
20240524122003,137.14
20240524123003,130.0
20240524124003,388.88
20240524125003,670.41
20240524130003,596.57
20240524131003,756.47
20240524132003,743.66
20240524133003,742.55
20240524134003,682.79
20240524135003,1077.63
20240524140003,1790.42
20240524141003,2390.06
20240524142003,1927.11
20240524143003,1830.67
20240524144003,2262.95
20240524145003,2106.64
20240524150003,1811.91
20240524151003,1606.83
20240524152003,1195.16
20240524153003,-454.55
20240524154003,-496.61
20240524155003,-312.94
20240524160003,-102.29
20240524161003,-90.85
20240524162003,-116.9
20240524163003,-39.81
20240524164003,46.75
20240524165003,196.51
20240526090003,682.16
20240526091003,1261.18
20240526092003,1972.81
20240526093003,2098.34
20240526094003,1706.83
20240526095003,992.2
20240526100003,629.62
20240526101003,1044.85
20240526102003,1507.23
20240526103003,1788.39
20240526104003,2319.03
20240526105003,2890.24
20240526110003,2586.43
20240526111003,1641.49
20240526112003,-422.67
20240526113003,-671.76
20240526114003,-331.77
20240526115003,0.19
20240526120003,8.72
20240526121003,2.76
20240526122003,-19.49
20240526123003,292.81
20240526124003,925.19
20240526125003,988.81
20240526130003,1044.58
20240526131003,1279.11
20240526132003,2200.03
20240526133003,3072.37
20240526134003,3180.76
20240526135003,2572.19
20240526140003,1423.01
20240526141003,1176.93
20240526142003,1543.54
20240526143003,1987.51
20240526144003,2992.8
20240526145003,2957.3
20240526150003,3039.62
20240526151003,3848.19
20240526152003,2377.76
20240526153003,-377.08
20240526154003,-513.01
20240526155003,-302.85
20240526160003,-56.56
20240526161003,-115.77
20240526162003,-186.93
20240526163003,-95.72
20240526164003,45.75
20240526165003,3.12
20240603090003,225.56
20240603091003,425.29
20240603092003,201.27
20240603093003,164.07
20240603094003,189.41
20240603095003,360.02
20240603100003,570.62
20240603101003,1114.22
20240603102003,1174.78
20240603103003,1359.63
20240603104003,1331.63
